x: 1096, y: 483, track_id: 3, frame_id: 449, camera_id: 75
x: 1170, y: 684, track_id: 1, frame_id: 0, camera_id: 75
x: 465, y: 628, track_id: 2, frame_id: 0, camera_id: 75
x: 1036, y: 466, track_id: 3, frame_id: 0, camera_id: 75
x: 1170, y: 683, track_id: 1, frame_id: 1, camera_id: 75
x: 464, y: 626, track_id: 2, frame_id: 1, camera_id: 75
x: 1036, y: 467, track_id: 3, frame_id: 1, camera_id: 75
x: 1036, y: 466, track_id: 3, frame_id: 2, camera_id: 75
x: 463, y: 626, track_id: 2, frame_id: 2, camera_id: 75
x: 1170, y: 683, track_id: 1, frame_id: 2, camera_id: 75
x: 1169, y: 682, track_id: 1, frame_id: 3, camera_id: 75
x: 463, y: 623, track_id: 2, frame_id: 3, camera_id: 75
x: 1036, y: 466, track_id: 3, frame_id: 3, camera_id: 75
x: 1036, y: 466, track_id: 3, frame_id: 4, camera_id: 75
x: 1167, y: 683, track_id: 1, frame_id: 4, camera_id: 75
x: 466, y: 626, track_id: 2, frame_id: 4, camera_id: 75
x: 1162, y: 683, track_id: 1, frame_id: 5, camera_id: 75
x: 468, y: 626, track_id: 2, frame_id: 5, camera_id: 75
x: 1035, y: 467, track_id: 3, frame_id: 5, camera_id: 75
x: 1035, y: 468, track_id: 3, frame_id: 6, camera_id: 75
x: 1159, y: 685, track_id: 1, frame_id: 6, camera_id: 75
x: 470, y: 626, track_id: 2, frame_id: 6, camera_id: 75
x: 474, y: 626, track_id: 2, frame_id: 7, camera_id: 75
x: 1155, y: 686, track_id: 1, frame_id: 7, camera_id: 75
x: 1035, y: 469, track_id: 3, frame_id: 7, camera_id: 75
x: 1035, y: 468, track_id: 3, frame_id: 8, camera_id: 75
x: 477, y: 626, track_id: 2, frame_id: 8, camera_id: 75
x: 1153, y: 687, track_id: 1, frame_id: 8, camera_id: 75
x: 1035, y: 465, track_id: 3, frame_id: 9, camera_id: 75
x: 1152, y: 687, track_id: 1, frame_id: 9, camera_id: 75
x: 483, y: 626, track_id: 2, frame_id: 9, camera_id: 75
x: 488, y: 625, track_id: 2, frame_id: 10, camera_id: 75
